Pitcher,PitcherId,Batter,BatterId,TaggedPitchType,RelSpeed,VertApprAngle,HorzApprAngle,ExitSpeed,Distance
"Cancellieri, Dominic",1000060883,"Morton, Korey",1000099613,Fastball,90.88898,-5.202384,-0.008569,74.32709,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Morton, Korey",1000099613,ChangeUp,82.35202,-7.402403,-0.493519,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Morton, Korey",1000099613,Fastball,90.97546,-5.66757,0.039885,105.55075,291.57326
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Garbowski, Matthew",1000090804,Fastball,89.17846,-4.674438,1.927874,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Garbowski, Matthew",1000090804,Fastball,89.6782,-6.340037,1.562965,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Garbowski, Matthew",1000090804,ChangeUp,81.38162,-5.985511,0.894122,73.31606,131.87092
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Padilla, Bryan",1000122972,Slider,81.05702,-8.486793,-1.207423,96.99949,22.29381
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Smith, David",1000090517,Fastball,90.55275,-4.901856,1.338713,57.0299,127.98239
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Smith, David",1000090517,ChangeUp,81.27423,-6.965119,1.395005,61.55581,172.50824
,,,,,,,,,
"Quigley, Stephen",1000132354,"Grace, Jack",1000078696,Slider,,,,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Grace, Jack",1000078696,Slider,80.14395,-9.362388,-4.633867,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Grace, Jack",1000078696,Slider,80.00991,-9.062865,-2.473914,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Grace, Jack",1000078696,Slider,81.54956,-8.652823,-4.578575,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Grace, Jack",1000078696,Fastball,92.38354,-4.870576,0.465173,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Hayes, Sterling",8900099,Slider,83.09414,-7.991577,-3.262687,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Hayes, Sterling",8900099,Slider,81.56569,-9.224672,-4.247177,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Hayes, Sterling",8900099,Slider,80.45421,-8.474408,-1.568057,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Hayes, Sterling",8900099,Fastball,92.37816,-6.057226,0.25069,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Hayes, Sterling",8900099,Fastball,92.11049,-6.204831,-1.284369,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Sailors, Nolan",1000121572,Fastball,91.80283,-5.99363,0.488746,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Sailors, Nolan",1000121572,ChangeUp,86.56858,-6.531717,0.340284,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Tammaro, Paul",1000187106,Fastball,89.04741,-4.106006,0.555317,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Tammaro, Paul",1000187106,Fastball,90.02133,-6.079988,-0.197797,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Tammaro, Paul",1000187106,Slider,82.04089,-10.425175,-3.196888,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Tammaro, Paul",1000187106,Fastball,90.0909,-4.923262,0.222956,99.84405,277.03759
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Freeberger, Dominic",1000058975,ChangeUp,81.46556,-9.121434,-0.298973,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Freeberger, Dominic",1000058975,Fastball,89.18374,-5.58284,1.452839,72.5297,10.55703
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,ChangeUp,81.38095,-7.319195,-1.216354,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,Fastball,90.26528,-7.043244,-0.08,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,ChangeUp,81.06016,-7.710117,0.72783,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,Fastball,89.49593,-6.053396,1.906367,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,Fastball,90.73055,-5.054302,0.537188,104.24376,19.20281
,,,,,,,,,
"Quigley, Stephen",1000132354,"Canales, Colby",1000052536,Slider,,,,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Canales, Colby",1000052536,Slider,79.90326,-8.449481,-3.212434,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Canales, Colby",1000052536,Fastball,90.57894,-5.798321,-0.738284,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Canales, Colby",1000052536,Slider,82.05983,-7.246464,-4.246034,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Canales, Colby",1000052536,Slider,81.63077,-7.9984,-3.207647,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Gbur, Ben",1000209259,Slider,80.8634,-8.447148,-3.716131,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Gbur, Ben",1000209259,Slider,80.46127,-8.283494,-1.309131,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Gbur, Ben",1000209259,Fastball,90.06305,-6.864552,-0.250437,,
,,,,,,,,,
